,symbol,regularMarketPrice,Change,Change Percentage,previousClose
0,COUP,65.4,-6.18,-8.63,71.58
1,ENPH,200.51,-4.26,-2.08,204.77
2,TIIAY,2.84,-0.1,-3.57,2.945
3,GLNG,23.94,-1.22,-4.85,25.16
4,PLTK,13.43,-0.48,-3.45,13.91
5,BML-PG,18.69,-0.17,-0.91,18.8616
6,AMRC,54.65,-1.27,-2.27,55.92
7,VCISY,23.88,-0.23,-0.95,24.11
8,CRWD,173.55,-5.29,-2.96,178.84
9,NOG,37.01,0.74,2.04,36.27
10,LAC,22.91,-1.38,-5.68,24.29
11,ISBC,13.87,-0.35,-2.46,14.22
12,HMHC,21.03,0.0,0.0,21.03
13,JXHLY,8.558,-0.08,-0.95,8.64
14,MMI,38.43,-0.92,-2.34,39.35
15,MNSO,5.8,-1.1,-15.94,6.9
16,GPN,122.09,-5.39,-4.23,127.48
17,MAC,10.69,-0.65,-5.73,11.34
18,RL,103.18,-1.26,-1.21,104.44
19,MHK,140.93,1.39,1.0,139.54
20,COTY,6.97,-0.23,-3.19,7.2
21,BHVN,144.54,-0.21,-0.15,144.75
22,TTDKY,34.8,-0.47,-1.33,35.27
23,GTBIF,11.15,-0.2,-1.76,11.35
24,ARVN,43.03,-1.73,-3.87,44.76
25,COOP,43.67,-0.82,-1.84,44.49
26,PARA,29.15,-1.59,-5.17,30.74
27,ALSMY,2.73,-0.02,-0.73,2.75
28,IBRX,3.87,-0.34,-8.08,4.21
29,FMCCJ,4.71,0.0,0.0,4.71
30,ATASF,24.954,0.0,0.0,24.954
31,TABCF,0.68,0.0,0.0,0.68
32,EBR-B,8.58,-0.03,-0.35,8.61
33,KPLUY,13.0,-0.5,-3.7,13.5
34,PSMT,74.51,-1.86,-2.44,76.37
35,FLMMF,18.4,-0.8,-4.14,19.1955
36,NEX,11.6,-0.31,-2.6,11.91
37,WBDWV,24.47,1.7,7.47,22.77
38,CTRA,34.96,-0.82,-2.29,35.78
39,WDFC,187.78,-4.5,-2.34,192.28
40,FNMAL,5.6,0.23,4.28,5.37
41,KRYPF,2.63,0.0,0.0,2.63
42,PIAIF,6.26,0.07,1.13,6.19
43,DISCB,24.45,1.43,6.21,23.02
44,PSFE,2.66,-0.16,-5.67,2.82
45,DISCA,24.43,1.36,5.9,23.07
46,DISCK,24.42,1.34,5.81,23.08
47,HAL,42.21,-0.76,-1.77,42.97
48,EBR,8.68,0.03,0.35,8.65
49,EOG,142.49,-3.25,-2.23,145.74
50,BVN,7.87,-0.28,-3.44,8.15
51,NOV,20.57,-0.64,-3.02,21.21
52,SVNLF,9.766,-0.25,-2.46,10.012
53,MGY,29.19,-0.21,-0.71,29.4
54,HNP,18.06,-1.69,-8.56,19.75
55,RLX,2.16,-0.19,-8.09,2.35
56,PTEN,18.73,-1.02,-5.16,19.75
57,APA,50.04,-1.13,-2.21,51.17
58,SVNLY,4.84,-0.0,-0.08,4.844
59,CPG,10.45,-0.28,-2.61,10.73
60,CACC,544.18,-16.54,-2.95,560.72
61,LBRT,17.3,-1.2,-6.49,18.5
62,MRRTY,3.17,0.04,1.12,3.135
63,ZIJMF,1.39,-0.01,-0.71,1.4
64,EQRX,4.1,-0.26,-5.96,4.36
65,FTI,8.12,-0.22,-2.64,8.34
66,HES,126.86,-2.78,-2.14,129.64
67,BKGFY,10.45,-0.14,-1.32,10.5901
68,ACHC,68.59,-1.35,-1.93,69.94
69,FNMAJ,3.22,0.07,2.22,3.15
70,KCDMY,7.47,-0.11,-1.45,7.58
71,STOHF,37.704,-0.3,-0.78,38.0
72,CAH,52.35,-1.2,-2.24,53.55
73,YASKY,71.08,0.71,1.01,70.37
74,RYDAF,30.25,-0.52,-1.69,30.77
75,EGO,7.9,-0.28,-3.42,8.18
76,BSM,16.74,-0.49,-2.84,17.23
77,ERF,17.82,-0.22,-1.22,18.04
78,PXD,276.78,-7.11,-2.5,283.89
79,SWTX,24.27,-1.73,-6.65,26.0
80,CMSQY,16.58,-0.4,-2.36,16.98
81,DNBBY,19.49,-0.37,-1.84,19.855
82,EDVMF,23.119,-0.67,-2.82,23.79
83,SLB,48.14,-1.43,-2.88,49.57
84,JBSAY,14.12,-0.09,-0.6,14.205
85,DKS,80.2,0.22,0.27,79.9825
86,EQX,5.72,-0.28,-4.67,6.0
87,AAP,184.66,-0.46,-0.25,185.12
88,CVT,4.73,-0.04,-0.84,4.77
89,OI,17.42,-0.23,-1.3,17.65
90,BCRX,10.49,-0.39,-3.58,10.88
91,LXP,11.12,-0.22,-1.94,11.34
92,CX,4.1,-0.17,-3.98,4.27
93,CVX,177.52,-3.61,-1.99,181.13
94,GILD,61.18,-1.2,-1.92,62.38
95,KR,50.43,-0.79,-1.54,51.22
96,NUTX,8.25,0.22,2.74,8.03
97,RXT,7.95,-0.5,-5.92,8.45
98,MLSPF,1.95,0.0,0.0,1.95
99,TRTN,60.54,-0.81,-1.32,61.35
100,BAP,131.46,-3.61,-2.67,135.07
101,ABCL,8.39,0.43,5.4,7.96
102,JTKWY,4.23,-0.32,-7.03,4.55
103,AYX,54.15,-3.11,-5.43,57.26
104,HELFY,8.77,-0.9,-9.31,9.67
105,RGEN,159.35,-7.74,-4.63,167.09
106,SSMXY,31.63,0.38,1.22,31.25
107,ONTO,78.28,-2.4,-2.97,80.68
108,FORM,38.97,-0.41,-1.04,39.38
109,MRCY,61.31,-0.93,-1.49,62.24
110,KTOS,14.68,-0.3,-2.0,14.98
111,BCH,20.18,-0.61,-2.93,20.79
112,DASTY,39.7,-1.34,-3.26,41.036
113,GMAB,29.79,-1.27,-4.09,31.06
114,AEIS,79.64,-0.37,-0.46,80.01
115,DNLI,24.41,-0.41,-1.65,24.82
116,CWAN,13.95,-0.05,-0.36,14.0
117,WUXAY,13.475,-0.44,-3.16,13.915
118,TRUP,59.78,-7.8,-11.54,67.58
119,PGNY,28.9,-1.27,-4.21,30.17
120,ALHC,11.21,0.05,0.45,11.16
121,SEDG,291.67,-6.77,-2.27,298.44
122,SDGR,26.6,-0.83,-3.03,27.43
123,RKUNY,5.28,0.04,0.67,5.245
124,FROG,18.35,-0.09,-0.49,18.44
125,KWR,153.65,-2.64,-1.69,156.29
126,KKOYY,11.99,-0.33,-2.66,12.318
127,FLYW,17.84,-0.93,-4.95,18.77
128,SPT,53.37,-3.31,-5.84,56.68
129,FATE,23.48,-0.78,-3.22,24.26
130,UNVGY,11.06,-0.02,-0.18,11.08
131,EQNR,36.88,-0.87,-2.3,37.75
132,MEGEF,18.93,-0.31,-1.61,19.24
133,DVN,77.85,-0.08,-0.1,77.93
134,CLR,72.05,-0.58,-0.8,72.63
135,WOOF,16.09,0.01,0.06,16.08
136,REPYY,16.54,-0.65,-3.78,17.19
137,AHKSY,16.015,-0.18,-1.14,16.2
138,LPLA,195.13,-7.63,-3.76,202.76
139,SPGYF,9.64,-0.35,-3.5,9.99
140,WHD,52.49,-1.98,-3.64,54.47
141,FSNUY,7.95,-0.32,-3.87,8.27
142,KHOLY,11.41,0.05,0.44,11.36
143,TDS,16.07,-0.05,-0.31,16.12
144,GOGL,13.72,-0.76,-5.25,14.48
145,GKOS,43.75,-1.98,-4.33,45.73
146,DVA,93.61,0.26,0.28,93.35
147,AN,122.76,1.42,1.17,121.34
148,TTM,27.15,-0.74,-2.65,27.89
149,BMRN,76.66,-0.91,-1.17,77.57
150,HEP,19.89,0.2,1.02,19.69
151,PRMRF,31.15,-0.52,-1.64,31.67
152,SSL,26.75,-0.99,-3.57,27.74
153,KMX,99.93,-2.31,-2.26,102.24
154,CIADY,48.99,-1.42,-2.82,50.41
155,COP,118.56,-3.3,-2.71,121.86
156,IPXHY,13.2,-0.01,-0.08,13.21
157,SFM,25.26,-0.55,-2.13,25.81
158,SAIL,63.43,-0.09,-0.14,63.52
159,MSP,35.03,-0.08,-0.23,35.11
160,PING,19.63,-0.79,-3.87,20.42
161,SCGLY,5.25,-0.09,-1.78,5.345
162,AKBTY,0.97,0.0,0.0,0.97
163,DRKTF,4.518,-0.17,-3.67,4.69
164,BURL,173.91,-2.31,-1.31,176.22
165,FNMAH,2.97,0.02,0.68,2.95
166,RPD,69.5,-1.93,-2.7,71.43
167,TENB,49.45,-1.92,-3.74,51.37
168,AMPH,30.19,-8.1,-21.15,38.29
169,VRNS,33.83,-0.63,-1.83,34.46
170,PRYMY,15.63,-0.02,-0.13,15.65
171,AVAV,90.77,-2.03,-2.19,92.8
172,NTNX,14.81,-1.14,-7.15,15.95
173,RYAAY,79.68,-3.71,-4.45,83.39
174,ROST,79.76,-1.29,-1.59,81.05
175,ICAGY,3.07,-0.02,-0.65,3.09
176,AXAHY,24.71,-0.17,-0.68,24.88
177,LCII,117.59,1.22,1.05,116.37
178,PAG,121.25,1.03,0.86,120.22
179,FL,31.24,-0.87,-2.71,32.11
180,DY,97.47,2.33,2.45,95.14
181,PPERF,0.5785,0.01,1.94,0.5675
182,FIVN,98.56,-2.76,-2.72,101.32
183,JKS,61.68,-3.91,-5.96,65.59
184,MNTV,11.5,-0.54,-4.49,12.04
185,OWL,12.37,-0.3,-2.37,12.67
186,BRZE,34.54,-1.83,-5.03,36.37
187,ESAB,48.43,-0.97,-1.96,49.4
188,QLYS,128.81,-3.48,-2.63,132.29
189,FOXF,86.17,-0.52,-0.6,86.69
190,BBWI,35.35,-1.92,-5.15,37.27
191,SIVB,470.67,-15.19,-3.13,485.86
192,WSM,126.15,0.07,0.06,126.08
193,GNENF,13.52,-0.33,-2.38,13.85
194,ACAD,17.43,-0.69,-3.81,18.12
195,STER,17.75,-0.59,-3.22,18.34
196,PEN,133.74,-6.78,-4.82,140.52
197,INMD,24.93,-1.15,-4.41,26.08
198,HCM,10.32,-1.07,-9.39,11.39
199,CENX,11.36,-0.78,-6.43,12.14
200,BRFS,2.98,-0.01,-0.33,2.99
201,HOCPY,101.5,-1.56,-1.51,103.06
202,HGTY,10.81,-0.09,-0.83,10.9
203,DB,10.54,-0.25,-2.32,10.79
204,IDXX,359.7,-12.27,-3.3,371.97
205,HPK,35.37,-0.98,-2.7,36.35
206,DSDVY,73.13,-3.79,-4.93,76.92
207,VICR,65.11,-2.77,-4.08,67.88
208,GELYF,1.85,-0.09,-4.64,1.94
209,SONY,89.53,-2.73,-2.96,92.26
210,OVV,59.86,-1.55,-2.52,61.41
211,DFKCY,15.719,-0.17,-1.08,15.89
212,MORN,238.59,-3.39,-1.4,241.98
213,WYNMY,6.19,-0.16,-2.52,6.35
214,GELYY,36.48,-2.4,-6.17,38.88
215,TCCPY,4.342,-0.02,-0.41,4.36
216,PNGAY,12.375,-0.11,-0.84,12.48
217,BEAM,37.795,-2.38,-5.94,40.18
218,HRMY,46.58,0.07,0.15,46.51
219,SHZHY,13.445,-0.78,-5.45,14.22
220,WXXWY,17.59,-0.13,-0.74,17.721
221,ICLR,228.75,-1.81,-0.79,230.56
222,NARI,64.66,-3.7,-5.41,68.36
223,PUK,25.66,-0.76,-2.88,26.42
224,CGNX,45.71,-2.19,-4.57,47.9
225,SNPHY,7.535,0.02,0.2,7.52
226,NTRA,35.74,-3.13,-8.05,38.87
227,ASMIY,297.9,-12.93,-4.16,310.83
228,NJDCY,16.29,-0.18,-1.09,16.47
229,MSSMY,11.24,-0.14,-1.23,11.38
230,ABMD,257.11,-8.25,-3.11,265.36
231,RNECY,5.25,-0.2,-3.67,5.45
232,SQM,95.88,-2.5,-2.54,98.38
233,BPMC,58.77,-5.73,-8.88,64.5
234,MRK,88.0,-1.48,-1.65,89.48
235,WMB,35.59,-1.47,-3.98,37.065
236,VERU,13.71,-1.59,-10.39,15.3
237,1024.HK,87.35,-0.1,-0.11,87.45
238,HOTH,0.4251,-0.01,-2.7,0.4369
239,ATHX,0.37,-0.01,-3.32,0.3827
240,PTE,2.56,0.26,11.3,2.3
241,^IXIC,11754.226,-332.04,-2.75,12086.2705
242,IBIO,0.3106,0.02,8.03,0.2875
243,COALINDIA.NS,198.75,1.1,0.56,197.65
244,Y,834.61,0.45,0.05,834.16
245,0669.HK,100.4,-0.3,-0.3,100.7
246,EVTL,4.82,0.05,1.05,4.77
247,GIGNF,0.599,0.0,0.0,0.599
248,NTOIY,23.66,-0.86,-3.51,24.52
249,HNLGF,1.91,0.0,0.0,1.91
250,SIMO,92.14,-0.75,-0.81,92.89
251,KSS,46.6,0.84,1.84,45.76
252,DH,19.48,-0.16,-0.81,19.64
253,OPK,2.74,-0.1,-3.52,2.84
254,ARLP,19.99,-0.61,-2.96,20.6
255,HSHCY,13.12,-0.15,-1.13,13.27
256,RKLB,4.44,-0.41,-8.45,4.85
257,SGHC,5.54,-0.44,-7.36,5.98
258,CERT,18.39,-0.72,-3.77,19.11
259,LZ,13.79,-0.21,-1.5,14.0
260,DCP,37.87,0.13,0.34,37.74
261,RAZFF,0.27,0.0,0.0,0.27
262,HESM,33.51,-0.72,-2.1,34.23
263,TMVWY,6.41,-0.33,-4.9,6.74
264,MODV,98.86,-0.83,-0.83,99.69
265,INFA,19.69,-0.65,-3.2,20.34
266,AMPL,18.1,-1.18,-6.12,19.28
267,WES,28.48,-0.08,-0.28,28.56
268,LZRFY,10.715,0.05,0.52,10.66
269,ATSG,30.3,-1.72,-5.37,32.02
270,CQP,53.69,-0.7,-1.29,54.39
271,PAGP,12.35,-0.06,-0.48,12.41
272,BCC,80.17,-0.98,-1.21,81.15
273,RCM,20.51,-0.69,-3.25,21.2
274,LVMUY,123.25,-4.52,-3.54,127.77
275,CEA,17.27,-0.45,-2.54,17.72
276,HP,51.0,-2.86,-5.31,53.86
277,CMP,41.62,-0.95,-2.23,42.57
278,IHS,11.39,-0.6,-5.0,11.99
279,EVH,28.76,-0.96,-3.23,29.72
280,ENLC,11.22,-0.08,-0.71,11.3
281,FINMF,11.35,0.0,0.0,11.35
282,SCHYY,20.13,-0.87,-4.14,21.0
283,SHOO,37.74,-0.49,-1.28,38.23
284,EPIAF,19.452,-0.83,-4.1,20.284
285,CNQ,66.65,-1.67,-2.44,68.32
286,CHX,24.71,-0.66,-2.6,25.37
287,FHN,22.33,-0.31,-1.37,22.64
288,CFG,38.87,-1.51,-3.74,40.38
289,ACI,29.47,0.22,0.75,29.25
290,EVOTF,27.09,0.0,0.0,27.09
291,EVO,13.23,-1.02,-7.16,14.25
292,NONOF,112.29,-3.28,-2.84,115.57
293,CTLT,109.84,-0.99,-0.89,110.83
294,CRZBF,8.62,0.0,0.0,8.62
295,KMTUF,26.15,0.55,2.15,25.6
296,AMED,115.06,-0.55,-0.48,115.61
297,TAIPY,9.0,-0.04,-0.44,9.04
298,FANUY,16.05,-0.31,-1.92,16.365
299,BIO,520.81,-13.9,-2.6,534.71
